SN,Volatge,Current,mAH
0,2.806,0,0
0.5,3.073,100,0
1.0,3.073,100,0
1.5,3.315,313,0
2.0,3.315,313,0
2.5,3.328,313,0
3.0,3.328,313,0
3.5,3.33,313,0
4.0,3.33,313,0
4.5,3.331,310,0
5.0,3.331,310,0
5.5,3.333,287,0
6.0,3.333,287,0
6.5,3.334,293,0
7.0,3.335,293,0
7.5,3.335,293,0
8.0,3.335,293,0
8.5,3.335,293,0
9.0,3.336,290,0
9.5,3.336,290,0
10.0,3.337,290,0
10.5,3.337,290,0
11.0,3.337,290,0
11.5,3.338,290,1
12.0,3.338,290,1
12.5,3.339,290,1
13.0,3.339,290,1
13.5,3.34,290,1
14.0,3.34,290,1
14.5,3.34,305,1
15.0,3.34,305,1
15.5,3.34,305,1
16.0,3.34,305,1
16.5,3.341,302,1
17.0,3.342,302,1
17.5,3.342,302,1
18.0,3.342,302,1
18.5,3.342,302,1
19.0,3.343,299,1
19.5,3.343,299,1
20.0,3.343,299,1
20.5,3.343,299,1
21.0,3.343,296,1
21.5,3.343,296,1
22.0,3.343,310,1
22.5,3.344,310,2
23.0,3.344,310,2
23.5,3.344,310,2
24.0,3.344,310,2
24.5,3.344,310,2
25.0,3.344,310,2
25.5,3.345,310,2
26.0,3.345,310,2
26.5,3.345,310,2
27.0,3.345,310,2
27.5,3.345,310,2
28.0,3.346,310,2
28.5,3.346,310,2
29.0,3.346,310,2
29.5,3.346,310,2
30.0,3.347,310,2
30.5,3.347,310,2
31.0,3.347,310,2
31.5,3.347,310,2
32.0,3.347,310,2
32.5,3.347,284,2
33.0,3.347,284,2
33.5,3.347,284,3
34.0,3.347,284,3
34.5,3.347,284,3
35.0,3.347,284,3
35.5,3.348,284,3
36.0,3.348,310,3
36.5,3.348,310,3
37.0,3.348,310,3
37.5,3.348,310,3
38.0,3.349,296,3
38.5,3.349,296,3
39.0,3.348,296,3
39.5,3.348,296,3
40.0,3.348,293,3
40.5,3.348,293,3
41.0,3.349,290,3
41.5,3.349,290,3
42.0,3.349,290,3
42.5,3.349,290,3
43.0,3.349,290,3
43.5,3.349,290,3
44.0,3.349,290,3
44.5,3.35,290,4
45.0,3.35,290,4
45.5,3.35,287,4
46.0,3.35,287,4
46.5,3.35,287,4
47.0,3.35,290,4
47.5,3.35,290,4
48.0,3.35,287,4
48.5,3.35,287,4
49.0,3.351,305,4
49.5,3.351,305,4
50.0,3.351,305,4
50.5,3.351,305,4
51.0,3.351,302,4
51.5,3.351,302,4
52.0,3.351,302,4
52.5,3.352,299,4
53.0,3.352,299,4
53.5,3.352,310,4
54.0,3.352,310,4
54.5,3.352,307,4
55.0,3.352,307,4
55.5,3.352,310,5
56.0,3.352,310,5
56.5,3.352,310,5
57.0,3.352,310,5
57.5,3.352,310,5
58.0,3.352,310,5
58.5,3.352,310,5
59.0,3.352,310,5
59.5,3.352,310,5
60.0,3.353,310,5
60.5,3.353,310,5
61.0,3.353,310,5
61.5,3.353,307,5
62.0,3.353,307,5
62.5,3.353,307,5
63.0,3.353,307,5
63.5,3.353,310,5
64.0,3.353,310,5
64.5,3.353,310,5
65.0,3.353,310,5
65.5,3.353,310,5
66.0,3.353,310,5
66.5,3.353,310,6
67.0,3.354,284,6
67.5,3.354,284,6
68.0,3.353,284,6
68.5,3.353,284,6
69.0,3.354,299,6
69.5,3.354,299,6
70.0,3.354,299,6
70.5,3.354,299,6
71.0,3.354,296,6
71.5,3.354,296,6
72.0,3.354,296,6
72.5,3.354,293,6
73.0,3.354,293,6
73.5,3.354,293,6
74.0,3.354,293,6
74.5,3.354,293,6
75.0,3.354,293,6
75.5,3.354,290,6
76.0,3.354,290,6
76.5,3.355,290,6
77.0,3.355,290,7
77.5,3.355,290,7
78.0,3.354,287,7
78.5,3.354,287,7
79.0,3.355,287,7
79.5,3.355,287,7
80.0,3.355,287,7
80.5,3.355,287,7
81.0,3.355,287,7
81.5,3.355,287,7
82.0,3.355,302,7
82.5,3.355,287,7
83.0,3.355,287,7
83.5,3.355,305,7
84.0,3.355,305,7
84.5,3.355,302,7
85.0,3.355,302,7
85.5,3.355,281,7
86.0,3.355,281,7
86.5,3.355,284,7
87.0,3.355,307,7
87.5,3.355,307,7
88.0,3.355,310,8
88.5,3.355,310,8
89.0,3.356,310,8
89.5,3.356,310,8
90.0,3.356,307,8
90.5,3.356,307,8
91.0,3.356,310,8
91.5,3.356,310,8
92.0,3.356,307,8
92.5,3.356,307,8
93.0,3.356,307,8
93.5,3.356,307,8
94.0,3.356,307,8
94.5,3.357,310,8
95.0,3.357,310,8
95.5,3.356,307,8
96.0,3.356,307,8
96.5,3.356,307,8
97.0,3.356,307,8
97.5,3.356,307,8
98.0,3.357,310,8
98.5,3.357,310,8
99.0,3.357,307,9
99.5,3.357,307,9
100.0,3.356,310,9
100.5,3.356,310,9
101.0,3.356,299,9
101.5,3.357,302,9
102.0,3.357,302,9
102.5,3.357,299,9
103.0,3.357,299,9
103.5,3.357,299,9
104.0,3.357,299,9
104.5,3.357,296,9
105.0,3.357,296,9
105.5,3.357,296,9
106.0,3.358,296,9
106.5,3.358,296,9
107.0,3.358,293,9
107.5,3.358,293,9
108.0,3.358,290,9
108.5,3.358,290,9
109.0,3.358,290,9
109.5,3.358,290,9
110.0,3.358,290,10
110.5,3.358,287,10
111.0,3.358,287,10
111.5,3.358,290,10
112.0,3.358,290,10
112.5,3.358,287,10
113.0,3.358,287,10
113.5,3.358,287,10
114.0,3.358,287,10
114.5,3.358,287,10
115.0,3.357,287,10
115.5,3.357,287,10
116.0,3.358,287,10
116.5,3.358,287,10
117.0,3.358,307,10
117.5,3.358,307,10
118.0,3.358,281,10
118.5,3.358,281,10
119.0,3.357,284,10
119.5,3.358,281,10
120.0,3.358,281,10
120.5,3.358,307,10
121.0,3.358,307,10
121.5,3.358,307,11
122.0,3.358,307,11
122.5,3.358,307,11
123.0,3.358,307,11
123.5,3.358,307,11
124.0,3.358,307,11
124.5,3.358,307,11
125.0,3.358,307,11
125.5,3.358,307,11
126.0,3.358,307,11
126.5,3.358,307,11
127.0,3.358,307,11
127.5,3.358,307,11
128.0,3.359,307,11
128.5,3.359,307,11
129.0,3.359,307,11
129.5,3.359,307,11
130.0,3.359,307,11
130.5,3.359,307,11
131.0,3.359,307,11
131.5,3.359,307,12
132.0,3.359,307,12
132.5,3.359,287,12
133.0,3.359,287,12
133.5,3.359,290,12
134.0,3.359,290,12
134.5,3.359,302,12
135.0,3.36,302,12
135.5,3.36,302,12
136.0,3.36,302,12
136.5,3.36,302,12
137.0,3.359,299,12
137.5,3.359,299,12
138.0,3.36,299,12
138.5,3.36,299,12
139.0,3.36,296,12
139.5,3.359,293,12
140.0,3.359,293,12
140.5,3.36,293,12
141.0,3.36,293,12
141.5,3.36,293,12
142.0,3.36,293,12
142.5,3.36,290,12
143.0,3.36,290,12
143.5,3.36,290,13
144.0,3.36,290,13
144.5,3.36,290,13
145.0,3.36,287,13
145.5,3.36,287,13
146.0,3.36,287,13
146.5,3.36,287,13
147.0,3.36,287,13
147.5,3.36,287,13
148.0,3.36,287,13
148.5,3.36,287,13
149.0,3.36,307,13
149.5,3.36,307,13
150.0,3.36,307,13
150.5,3.36,307,13
151.0,3.36,307,13
151.5,3.36,307,13
152.0,3.36,307,13
152.5,3.36,281,13
153.0,3.36,281,13
153.5,3.36,307,13
154.0,3.36,281,14
154.5,3.36,281,14
155.0,3.36,307,14
155.5,3.36,307,14
156.0,3.36,307,14
156.5,3.36,307,14
157.0,3.36,307,14
157.5,3.36,307,14
158.0,3.36,307,14
158.5,3.361,307,14
159.0,3.361,307,14
159.5,3.361,307,14
160.0,3.361,307,14
160.5,3.361,307,14
161.0,3.361,307,14
161.5,3.361,307,14
162.0,3.361,307,14
162.5,3.361,307,14
163.0,3.361,307,14
163.5,3.361,307,14
164.0,3.361,287,14
164.5,3.361,287,14
165.0,3.361,287,15
165.5,3.361,287,15
166.0,3.361,287,15
166.5,3.361,287,15
167.0,3.361,287,15
167.5,3.361,302,15
168.0,3.361,302,15
168.5,3.361,302,15
169.0,3.361,302,15
169.5,3.361,299,15
170.0,3.361,299,15
170.5,3.361,299,15
171.0,3.361,299,15
171.5,3.361,299,15
172.0,3.361,296,15
172.5,3.361,296,15
173.0,3.361,296,15
173.5,3.361,296,15
174.0,3.361,296,15
174.5,3.361,293,15
175.0,3.361,293,15
175.5,3.361,293,16
176.0,3.361,293,16
176.5,3.361,290,16
177.0,3.361,290,16
177.5,3.362,290,16
178.0,3.362,290,16
178.5,3.362,290,16
179.0,3.362,287,16
179.5,3.362,287,16
180.0,3.362,307,16
180.5,3.362,307,16
181.0,3.362,307,16
181.5,3.362,307,16
182.0,3.362,307,16
182.5,3.362,307,16
183.0,3.362,307,16
183.5,3.362,307,16
