SN,Volatge,Current,mAH
0,3.012,0,0
0.5,3.194,243,0
1.0,3.194,243,0
1.5,3.419,711,0
2.0,3.419,711,0
2.5,3.35,711,0
3.0,3.35,711,0
3.5,3.319,694,0
4.0,3.302,694,0
4.5,3.302,694,0
5.0,3.29,694,1
5.5,3.29,694,1
6.0,3.28,694,1
6.5,3.28,694,1
7.0,3.273,694,1
7.5,3.273,694,1
8.0,3.266,694,1
8.5,3.261,694,1
9.0,3.261,694,1
9.5,3.256,694,2
10.0,3.256,694,2
10.5,3.252,694,2
11.0,3.252,694,2
11.5,3.248,694,2
12.0,3.248,694,2
12.5,3.245,694,2
13.0,3.245,694,2
13.5,3.241,694,2
14.0,3.238,694,2
14.5,3.238,694,2
15.0,3.235,694,3
15.5,3.235,694,3
16.0,3.232,694,3
16.5,3.232,694,3
17.0,3.229,694,3
17.5,3.229,694,3
18.0,3.227,694,3
18.5,3.224,694,3
19.0,3.224,694,3
19.5,3.222,711,4
20.0,3.222,711,4
20.5,3.22,709,4
21.0,3.22,709,4
21.5,3.217,711,4
22.0,3.217,711,4
22.5,3.215,711,4
23.0,3.215,711,4
23.5,3.213,711,4
24.0,3.211,711,5
24.5,3.209,711,5
25.0,3.209,711,5
25.5,3.208,711,5
26.0,3.208,711,5
26.5,3.206,711,5
27.0,3.206,711,5
27.5,3.204,711,5
28.0,3.203,711,6
28.5,3.203,711,6
29.0,3.201,711,6
29.5,3.201,711,6
30.0,3.2,711,6
30.5,3.2,711,6
31.0,3.198,711,6
31.5,3.198,711,6
32.0,3.197,709,6
32.5,3.196,709,7
33.0,3.196,709,7
33.5,3.194,711,7
34.0,3.194,711,7
34.5,3.193,709,7
35.0,3.193,709,7
35.5,3.191,694,7
36.0,3.191,694,7
36.5,3.19,694,7
37.0,3.189,694,8
37.5,3.189,694,8
38.0,3.188,694,8
38.5,3.188,694,8
39.0,3.187,694,8
39.5,3.187,694,8
40.0,3.186,695,8
40.5,3.186,695,8
41.0,3.185,694,8
41.5,3.185,694,8
42.0,3.184,695,9
42.5,3.183,694,9
43.0,3.183,694,9
43.5,3.182,694,9
44.0,3.182,694,9
44.5,3.181,694,9
45.0,3.181,694,9
45.5,3.18,694,9
46.0,3.18,694,9
46.5,3.179,694,9
47.0,3.179,694,10
47.5,3.179,694,10
48.0,3.178,694,10
48.5,3.178,694,10
49.0,3.178,694,10
49.5,3.178,694,10
50.0,3.177,694,10
50.5,3.177,694,10
51.0,3.176,711,10
51.5,3.176,711,11
52.0,3.176,711,11
52.5,3.175,711,11
53.0,3.175,711,11
53.5,3.174,711,11
54.0,3.174,711,11
54.5,3.174,711,11
55.0,3.174,711,11
55.5,3.173,711,11
56.0,3.173,711,11
56.5,3.173,711,12
57.0,3.172,711,12
57.5,3.172,711,12
58.0,3.172,709,12
58.5,3.172,709,12
59.0,3.172,711,12
59.5,3.172,711,12
60.0,3.171,711,12
60.5,3.171,711,12
61.0,3.171,711,13
61.5,3.171,711,13
62.0,3.171,711,13
62.5,3.17,709,13
63.0,3.17,711,13
63.5,3.17,711,13
64.0,3.17,711,13
64.5,3.169,711,14
65.0,3.169,711,14
65.5,3.169,711,14
66.0,3.169,711,14
66.5,3.169,694,14
67.0,3.169,694,14
67.5,3.168,694,14
68.0,3.168,694,14
68.5,3.168,694,14
69.0,3.168,695,15
69.5,3.168,695,15
70.0,3.168,695,15
70.5,3.168,695,15
71.0,3.167,694,15
71.5,3.167,694,15
72.0,3.167,694,15
72.5,3.167,694,15
73.0,3.167,694,15
73.5,3.167,694,16
74.0,3.167,694,16
74.5,3.166,694,16
75.0,3.166,694,16
75.5,3.166,694,16
76.0,3.166,694,16
76.5,3.166,694,16
77.0,3.166,694,16
77.5,3.166,694,16
78.0,3.166,694,16
78.5,3.166,694,17
79.0,3.166,694,17
79.5,3.166,694,17
80.0,3.166,692,17
80.5,3.166,692,17
81.0,3.165,694,17
81.5,3.165,694,17
82.0,3.165,694,17
82.5,3.165,694,17
83.0,3.165,711,17
83.5,3.165,709,18
84.0,3.165,709,18
84.5,3.165,709,18
85.0,3.165,709,18
85.5,3.165,709,18
86.0,3.165,709,18
86.5,3.164,709,18
87.0,3.164,709,18
87.5,3.164,709,18
88.0,3.164,709,18
88.5,3.164,709,19
89.0,3.164,711,19
89.5,3.164,711,19
90.0,3.164,711,19
90.5,3.164,711,19
91.0,3.164,709,19
91.5,3.164,709,19
92.0,3.164,711,19
92.5,3.164,711,19
93.0,3.164,709,20
93.5,3.164,709,20
94.0,3.164,711,20
94.5,3.164,711,20
95.0,3.163,711,20
95.5,3.163,709,20
96.0,3.163,709,20
96.5,3.163,711,20
97.0,3.163,711,20
97.5,3.163,711,21
98.0,3.163,711,21
98.5,3.163,711,21
99.0,3.163,711,21
99.5,3.163,694,21
100.0,3.163,694,21
100.5,3.163,694,21
101.0,3.163,694,21
101.5,3.163,694,21
102.0,3.163,695,22
102.5,3.163,695,22
103.0,3.162,694,22
103.5,3.162,694,22
104.0,3.162,694,22
104.5,3.162,694,22
105.0,3.163,694,22
105.5,3.162,694,22
106.0,3.162,694,22
106.5,3.162,694,23
107.0,3.162,694,23
107.5,3.162,694,23
108.0,3.162,694,23
108.5,3.162,694,23
109.0,3.162,694,23
109.5,3.162,694,23
110.0,3.162,694,23
