SN,Volatge,Current,mAH
0,0.0,21,82
0.5,0.0,21,82
1.0,0.0,21,82
1.5,0.0,21,82
2.0,0.0,21,82
2.5,0.0,21,82
3.0,0.0,21,82
3.5,0.0,21,82
4.0,0.0,21,82
4.5,0.0,21,82
5.0,0.0,21,82
5.5,0.0,21,82
6.0,0.0,21,82
6.5,0.0,21,82
7.0,0.0,21,82
7.5,0.0,21,82
8.0,0.0,21,82
8.5,0.0,21,82
9.0,0.0,21,82
9.5,0.0,21,82
10.0,0.0,21,82
10.5,0.0,21,82
11.0,0.0,21,82
11.5,0.0,21,82
12.0,0.0,21,82
12.5,0.0,21,82
13.0,0.0,21,82
13.5,0.0,21,82
14.0,0.0,21,82
14.5,0.0,21,82
15.0,0.0,21,82
15.5,0.0,21,82
16.0,0.0,21,82
16.5,0.0,21,82
17.0,0.0,21,82
17.5,0.0,21,82
18.0,0.0,21,82
18.5,0.0,21,82
19.0,0.0,21,82
19.5,0.0,21,82
20.0,0.0,21,82
20.5,0.0,21,82
21.0,0.0,21,82
21.5,0.0,21,82
22.0,0.0,21,82
22.5,0.0,21,82
23.0,0.0,21,82
